original_id,vid
349,7956
211,7957
239,7958
0,7959
98,7960
336,7961
155,7962
193,7963
109,7964
82,7965
88,7966
250,7967
57,7968
95,7969
94,7970
59,7971
149,7972
74,7973
115,7974
37,7975
148,7976
24,7977
191,7978
96,7979
319,7980
279,7981
226,7982
3,7983
230,7984
97,7985
13,7986
212,7987
330,7988
43,7989
200,7990
354,7991
141,7992
310,7993
332,7994
355,7995
219,7996
61,7997
301,7998
72,7999
104,8000
47,8001
152,8002
112,8003
347,8004
173,8005
295,8006
287,8007
167,8008
145,8009
188,8010
339,8011
77,8012
46,8013
342,8014
123,8015
182,8016
180,8017
62,8018
318,8019
303,8020
302,8021
233,8022
41,8023
243,8024
242,8025
67,8026
